UserID,Time,Tweet,Retweet Count,sentiment,Company Name
1869809930,Fri Mar 18 14:17:48 +0000 2016,"retweeted stock trade alerts alerttrade  analyst predicts four inch iphone new ipad and",0,neutral,Apple
3278429766,Thu Mar 17 02:25:08 +0000 2016,"how to trade stock money invest",0,neutral,Apple
3068966814,Tue Mar 22 04:55:18 +0000 2016,"ticks the boxes as a dream dividend stock with yield",0,positive,Apple
2359331,Fri Mar 18 13:50:28 +0000 2016," blairaltland its gonna be a flop are doomed sell all stock now they stopped innovating its too small",0,negative,Apple
164624616,Tue Mar 22 14:41:08 +0000 2016,"even bear analysts are bullish on carekit and liam key reasons to buy the stock",0,positive,Apple
4722511647,Thu Mar 17 17:14:22 +0000 2016," can inc s march event revive stock",0,neutral,Apple
14983299,Tue Mar 22 04:59:15 +0000 2016,"stock falls when they do a big product launch small fluctuation but still ouch",0,negative,Apple
1706894053,Sat Mar 19 20:26:06 +0000 2016,"new stock belt now available for orders purchase send a dm",0,neutral,Apple
3046032990,Thu Mar 17 21:03:06 +0000 2016," b stock nocs ns aluminum zwart in ear oordoppen voor aanbieding voor eur",0,neutral,Apple
25770215,Fri Mar 18 16:09:52 +0000 2016,"marketwatch rt mktwburton why being named the most admired u s company is a sell signal for the stock",0,positive,Apple
4371742634,Thu Mar 17 21:35:47 +0000 2016,"right at the top of thre cloud no position stockcharts",0,positive,Apple
21428264,Fri Mar 18 18:08:11 +0000 2016,"s loop you in event might not be big winner for stock",0,negative,Apple
372744419,Tue Mar 22 13:25:52 +0000 2016,"iphonese casemateeurope cases in stock now find out more",3,neutral,Apple
3766519217,Fri Mar 18 23:13:05 +0000 2016,"steve wozniak gave much of his stock to employees who otherwise would not have received stock after the ipo",0,neutral,Apple
2155178678,Sat Mar 19 10:16:16 +0000 2016,"s stock has worms but fbi isn t one of them",0,negative,Apple
2360734975,Fri Mar 18 23:30:12 +0000 2016,"stock bracket msft vs nke vs amzn amzn",1,neutral,Apple
4353901287,Fri Mar 18 10:39:51 +0000 2016,"rt bitgoldislove mark hulbert this award just gave a sell signal to investors news stocks share rt",1,negative,Apple
18341423,Thu Mar 17 10:38:44 +0000 2016,"large cap breakout stocks to buy now including mdt and",1,positive,Apple
24815916,Fri Mar 18 03:27:21 +0000 2016,"on the bus now waiting to board if i get stuck in st louis someone feed my clone tell him he s got stock in",0,positive,Apple
146007787,Fri Mar 18 18:18:45 +0000 2016,"s loop you in event might not be big winner for stock technology",0,negative,Apple
247554328,Tue Mar 22 15:13:16 +0000 2016,"it was on stock apps like music which is immensely shit ok app but so many usability problems",0,neutral,Apple
2155397520,Thu Mar 17 15:46:33 +0000 2016,"exceptionally running my algorithm to recognize stocks to fall significantly actually getting vrx pfe bac and strongly bearish",0,negative,Apple
216936416,Thu Mar 17 05:07:35 +0000 2016," twtr fit and  other symbol streams on the discovery engine social network for investors stocks",0,neutral,Apple
39546678,Thu Mar 17 10:42:24 +0000 2016,"received a new alert find out why at stocks daytrading trading mkt nyse nasdaq markets",0,neutral,Apple
25073877,Sat Mar 19 14:52:57 +0000 2016,"rt realdonaldtrump i ve always been a fan of steve jobs especially after watching stock collapse w out him but the yacht he buil",591,negative,Apple
411710036,Thu Mar 17 16:48:23 +0000 2016,"chart points to massive rally technician stock has been floundering for the past months fall",0,negative,Apple
3319545451,Thu Mar 17 07:02:59 +0000 2016," congrats ghoststock nice trading keep it up rad jnug itci tsla uwti slp jnp zyne",0,neutral,Apple
462179628,Tue Mar 22 17:43:58 +0000 2016,"happy techtuesday stop by tivoli station and check out our stock of previous generation technology",0,neutral,Apple
14216123,Fri Mar 18 16:48:13 +0000 2016,"buybacks equal higher stock prices historically",6,negative,Apple
103069063,Tue Mar 22 04:05:19 +0000 2016," dennistodisco amp buy stock back when it was share",0,positive,Apple
2846486337,Tue Mar 22 16:24:54 +0000 2016," deals components vintage external diskette drive case new old stock x x beige",0,neutral,Apple
2148616134,Thu Mar 17 03:06:09 +0000 2016,"stock has been more bipolar than your girlfriend recently",0,negative,Apple
2309015812,Tue Mar 22 02:15:59 +0000 2016,"wallstjesus ironic my father by no means a stock expert mentioned reading rumors goog amp may buy a payment processor sq or pypl",0,neutral,Apple
4852930527,Mon Mar 21 23:51:42 +0000 2016,"insider selling regeneronpharmaceuticals inc director sells shares of stock read more",0,positive,Apple
93447910,Fri Mar 18 15:26:18 +0000 2016,"s loop you in event might not be big winner for stock",0,negative,Apple
2959981113,Thu Mar 17 06:27:04 +0000 2016,"can the iphone se launch turn around inc stock in iphone iphone",0,neutral,Apple
15064879,Tue Mar 22 00:38:54 +0000 2016," swy retailer sat on stock ones from are typically more than full",0,neutral,Apple
6.95E+17,Fri Mar 18 15:25:26 +0000 2016,"s loop you in event might not be big winner for stock",0,negative,Apple
1460071028,Fri Mar 18 22:54:20 +0000 2016,"what an loss means for aws amp inc stock",0,negative,Apple
316316085,Thu Mar 17 10:29:52 +0000 2016,"steve wozniak gave much of his stock to employees who otherwise would not have received stock after the ipo",0,neutral,Apple
166669702,Tue Mar 22 01:50:36 +0000 2016,"i d be dumping stock like tea in boston if i owned any i mean how much better can the supercomputer for your hand get",0,negative,Apple
195637295,Sat Mar 19 17:21:21 +0000 2016,"good day customers and friends original accessories and chargers should be back in stock shortly",0,neutral,Apple
565059874,Tue Mar 22 08:50:10 +0000 2016,"jones stock info is finally trading back above",0,positive,Apple
4830708541,Fri Mar 18 12:20:15 +0000 2016,"inc this is why stock could skyrocket in read more",1,positive,Apple
42727555,Thu Mar 17 15:31:43 +0000 2016,"market pulse technology sector update for  rwc qcom top technology stocks msft  ib",0,neutral,Apple
2694567290,Fri Mar 18 15:01:42 +0000 2016,"s big event on monday might not boost the stock as much as you think newiphone",0,negative,Apple
3261627696,Fri Mar 18 07:10:19 +0000 2016,"just might be a sin stock",0,negative,Apple
23784788,Tue Mar 22 00:00:59 +0000 2016," hq urm guys i just found a whole shed full of old iphone stock what can we do with it iphonese",0,neutral,Apple
2819939066,Fri Mar 18 13:38:37 +0000 2016,"how will s event effect its stock click signals trading",0,neutral,Apple
23059499,Thu Mar 17 11:20:21 +0000 2016,"wall street breakfast futures slide after fed propels stocks to high spy qqq amkby amzn bac bidu",1,positive,Apple
4643238088,Tue Mar 22 16:30:37 +0000 2016,"imagination stock rises on report of talks",0,positive,Apple
2339538282,Thu Mar 17 13:59:50 +0000 2016," petethern my wife had stock from the early s but sold it in because was going nowhere at the time",0,negative,Apple
14128970,Fri Mar 18 13:33:19 +0000 2016,"stock to climb with this year s unveiling event inc nasdaq a via personalincome",0,positive,Apple
2984160411,Thu Mar 17 11:50:34 +0000 2016,"rt wholegym drzaks amp cinnamon peanut butter is now in stockprice is only while stocks last",3,neutral,Apple
85547652,Fri Mar 18 23:28:51 +0000 2016,"crumble styled stock photography for sale at my etsy shop",0,neutral,Apple
7.02E+17,Tue Mar 22 13:18:40 +0000 2016," tstrealmoney dougkass is a good trading stock but wouldn t u agree it would have been better to buy hold to since iphone",0,positive,Apple
999219770,Thu Mar 17 13:34:34 +0000 2016," sabrinashazlin nope laa tak strong skrg ada stock love je playboy apek da tak jual",0,neutral,Apple
582848001,Tue Mar 22 12:58:32 +0000 2016,"good news fans we ve got the iphone and iphone s both in stock sealed from only  techtuesday",0,neutral,Apple
3969101188,Sat Mar 19 11:08:23 +0000 2016,"our free stock image of the hour is called download at",0,neutral,Apple
3364485773,Fri Mar 18 18:37:40 +0000 2016,"inc nasdaq stock",0,neutral,Apple
2788411463,Thu Mar 17 18:21:31 +0000 2016," johnasmyers would that i had purchased stock",0,positive,Apple
2167876946,Tue Mar 22 02:40:14 +0000 2016,"jual handphone second super murah ready stock jual murah i phone s gb rose fullsett pic",0,neutral,Apple
