1869809930,Fri Mar 18 14:17:48 +0000 2016,"alert  alerttrad trade analyst inch ipad stock iphon retweet predict",0,neutral,Apple
3278429766,Thu Mar 17 02:25:08 +0000 2016,"trade money invest stock",0,neutral,Apple
3068966814,Tue Mar 22 04:55:18 +0000 2016,"box tick dream yield dividend stock",0,positive,Apple
2359331,Fri Mar 18 13:50:28 +0000 2016,"blairaltland stop gonna flop sell innov doom stock",0,negative,Apple
164624616,Tue Mar 22 14:41:08 +0000 2016,"analyst carekit reason bullish buy bear liam stock key",0,positive,Apple
4722511647,Thu Mar 17 17:14:22 +0000 2016,"reviv event stock march",16,neutral,Apple
14983299,Tue Mar 22 04:59:15 +0000 2016,"product fall launch stock fluctuat ouch",0,negative,Apple
1706894053,Sat Mar 19 20:26:06 +0000 2016,"belt avail purchas dm stock send",0,neutral,Apple
3046032990,Thu Mar 17 21:03:06 +0000 2016,"noc eur ns ear zwart aluminum voor stock oordoppen aanbied",0,neutral,Apple
25770215,Fri Mar 18 16:09:52 +0000 2016,"admir rt name sell compani mktwburton stock signal marketwatch",1,positive,Apple
4371742634,Thu Mar 17 21:35:47 +0000 2016,"cloud thre top posit stockchart",0,positive,Apple
21428264,Fri Mar 18 18:08:11 +0000 2016,"winner loop event stock",10,negative,Apple
372744419,Tue Mar 22 13:25:52 +0000 2016,"casemateeurop iphones stock",3,neutral,Apple
3766519217,Fri Mar 18 23:13:05 +0000 2016,"steve ipo receiv stock employe wozniak",14,neutral,Apple
2155178678,Sat Mar 19 10:16:16 +0000 2016,"worm isn stock fbi",4,negative,Apple
2360734975,Fri Mar 18 23:30:12 +0000 2016,"msft bracket nke stock vs amzn",1,neutral,Apple
4353901287,Fri Mar 18 10:39:51 +0000 2016,"news rt award sell bitgoldislov share hulbert signal investor mark stock",1,negative,Apple
18341423,Thu Mar 17 10:38:44 +0000 2016,"cap breakout includ buy mdt stock",2,positive,Apple
24815916,Fri Mar 18 03:27:21 +0000 2016,"bus st feed wait stuck tell clone loui stock board",0,positive,Apple
146007787,Fri Mar 18 18:18:45 +0000 2016,"winner loop technolog event stock",1,negative,Apple
247554328,Tue Mar 22 15:13:16 +0000 2016,"app music usabl shit immens stock ok app",0,neutral,Apple
2155397520,Thu Mar 17 15:46:33 +0000 2016,"bearish bac except recogn stock pfe run get fall strong signific vrx algorithm",0,negative,Apple
216936416,Thu Mar 17 05:07:35 +0000 2016,"fit symbol engin social discoveri twtr stream investor stock network",0,neutral,Apple
39546678,Thu Mar 17 10:42:24 +0000 2016,"trade market alert nasdaq mkt daytrad receiv stock nyse",2,neutral,Apple
25073877,Sat Mar 19 14:52:57 +0000 2016,"yacht rt fan realdonaldtrump especi job buil steve stock watch collaps ve",591,negative,Apple
411710036,Thu Mar 17 16:48:23 +0000 2016,"massiv month flounder fall past technician stock chart ralli",2,negative,Apple
3319545451,Thu Mar 17 07:02:59 +0000 2016,"trade itci uwti ghoststock tsla jnug jnp congrat nice zyne rad slp keep",0,neutral,Apple
462179628,Tue Mar 22 17:43:58 +0000 2016,"generat previous happi station tivoli check technolog stock techtuesday",0,neutral,Apple
14216123,Fri Mar 18 16:48:13 +0000 2016,"equal histor stock price buyback",6,negative,Apple
103069063,Tue Mar 22 04:05:19 +0000 2016,"dennistodisco amp buy share stock",0,positive,Apple
2846486337,Tue Mar 22 16:24:54 +0000 2016,"beig compon extern vintag deal diskett drive stock",0,neutral,Apple
2148616134,Thu Mar 17 03:06:09 +0000 2016,"girlfriend bipolar stock",0,negative,Apple
2309015812,Tue Mar 22 02:15:59 +0000 2016,"mean expert iron amp father buy read rumor processor wallstjesus goog pypl payment stock mention sq",0,neutral,Apple
4852930527,Mon Mar 21 23:51:42 +0000 2016,"share regeneronpharmaceut read sell director sell stock insid",1,positive,Apple
2959981113,Thu Mar 17 06:27:04 +0000 2016,"se launch stock iphon",2,neutral,Apple
15064879,Tue Mar 22 00:38:54 +0000 2016,"swi retail typic sat one stock full",0,neutral,Apple
1460071028,Fri Mar 18 22:54:20 +0000 2016,"loss mean amp aw stock",2,negative,Apple
166669702,Tue Mar 22 01:50:36 +0000 2016,"boston tea supercomput dump own mean stock hand",0,negative,Apple
