Company Name,Date,Open,High,Low,Close,Difference,Volume,Adj Close
Amazon,4/21/16,631,637.820007,628.5,631,0,2550900,631
Amazon,4/20/16,630,636.549988,623,632.98999,-2.98999,2601500,632.98999
Amazon,4/19/16,637.140015,638.01001,620.799988,627.900024,9.239991,4048800,627.900024
Amazon,4/18/16,625.349976,637.640015,624.960022,635.349976,-10,4336400,635.349976
Amazon,4/15/16,621.919983,626.77002,618.109985,625.890015,-3.970032,2880900,625.890015
Amazon,4/14/16,615.070007,624.380005,615.070007,620.75,-5.679993,3474300,620.75
Amazon,4/13/16,607.679993,616.809998,605.289978,614.820007,-7.140014,4209800,614.820007
Amazon,4/12/16,598.400024,604.059998,592.309998,603.169983,-4.769959,2636300,603.169983
Amazon,4/11/16,596.140015,604,594.909973,595.929993,0.210022,2696500,595.929993
Amazon,4/8/16,594.320007,597.859985,589,594.599976,-0.279969,2589200,594.599976
Amazon,4/7/16,598.76001,599.599976,589.080017,591.429993,7.330017,3153700,591.429993
Amazon,4/6/16,587.52002,602.390015,587.5,602.080017,-14.559997,2833500,602.080017
Amazon,4/5/16,590.77002,593.469971,585.25,586.140015,4.630005,2277200,586.140015
Amazon,4/4/16,599,599.5,590.549988,593.190002,5.809998,2469600,593.190002
Amazon,4/1/16,590.48999,599.030029,588.299988,598.5,-8.01001,2912400,598.5
Amazon,3/31/16,599.280029,600.75,592.210022,593.640015,5.640014,2673600,593.640015
Amazon,3/30/16,596.710022,603.23999,595,598.690002,-1.97998,3888000,598.690002
Amazon,3/29/16,580.150024,595.849976,576.5,593.859985,-13.709961,4167100,593.859985
Amazon,3/28/16,584.400024,584.75,575.559998,579.869995,4.530029,3118000,579.869995
Amazon,3/24/16,567.109985,583.549988,567.080017,582.950012,-15.840027,5141600,582.950012
Amazon,3/23/16,561,572.47998,558.099976,569.630005,-8.630005,3966100,569.630005
Amazon,3/22/16,545.109985,562.76001,545.049988,560.47998,-15.369995,3990900,560.47998
Amazon,3/21/16,548.909973,555.23999,538.580017,553.97998,-5.070007,5146100,553.97998
Amazon,3/18/16,560.940002,562.330017,546.090027,552.080017,8.859985,7263300,552.080017
Amazon,3/17/16,569.51001,571.400024,555.01001,559.440002,10.070008,5918200,559.440002
Amazon,3/16/16,576.640015,581.320007,571.140015,574.27002,2.369995,3474600,574.27002
amphastar,4/21/16,12.89,13.05,12.76,13.05,-0.16,151800,13.05
amphastar,4/20/16,12.81,13.05,12.78,12.92,-0.11,108700,12.92
amphastar,4/19/16,12.97,13.14,12.85,12.89,0.08,141700,12.89
amphastar,4/18/16,12.62,12.97,12.61,12.95,-0.33,175700,12.95
amphastar,4/15/16,12.61,12.84,12.55,12.72,-0.11,110000,12.72
amphastar,4/14/16,12.75,12.79,12.58,12.66,0.09,105600,12.66
amphastar,4/13/16,12.67,12.84,12.5,12.75,-0.08,153500,12.75
amphastar,4/12/16,12.41,12.65,12.28,12.57,-0.16,137800,12.57
amphastar,4/11/16,12.86,12.86,12.37,12.44,0.42,155800,12.44
amphastar,4/8/16,13.04,13.04,12.69,12.76,0.28,108100,12.76
amphastar,4/7/16,13,13.28,12.83,12.92,0.08,269400,12.92
amphastar,4/6/16,12.52,13.06,12.45,13.03,-0.51,304800,13.03
amphastar,4/5/16,12.81,12.81,12.28,12.52,0.29,220100,12.52
amphastar,4/4/16,12.67,13.1,12.64,12.89,-0.22,212000,12.89
amphastar,4/1/16,11.95,12.75,11.9,12.7,-0.75,216500,12.7
amphastar,3/31/16,12.01,12.48,11.97,12,0.01,224100,12
amphastar,3/30/16,12.26,12.38,11.9,11.93,0.33,197000,11.93
amphastar,3/29/16,11.54,12.27,11.37,12.23,-0.69,185700,12.23
amphastar,3/28/16,12.06,12.18,11.53,11.61,0.45,176700,11.61
amphastar,3/24/16,11.81,12.2,11.64,11.96,-0.15,143300,11.96
amphastar,3/23/16,12.29,12.41,11.86,11.92,0.37,191100,11.92
amphastar,3/22/16,11.93,12.34,11.87,12.29,-0.36,199500,12.29
amphastar,3/21/16,11.62,12.13,11.53,11.94,-0.32,237200,11.94
amphastar,3/18/16,11.41,11.99,11.25,11.64,-0.23,392000,11.64
amphastar,3/17/16,12.18,12.52,10.92,11.33,0.85,376200,11.33
amphastar,3/16/16,12.58,12.71,12.1,12.14,0.44,342400,12.14
apple,4/21/16,106.93,106.93,105.519997,105.970001,0.959999,31356400,105.970001
apple,4/20/16,106.639999,108.089996,106.059998,107.129997,-0.489998,28666900,107.129997
apple,4/19/16,107.879997,108,106.230003,106.910004,0.969993,32292300,106.910004
apple,4/18/16,108.889999,108.949997,106.940002,107.480003,1.409996,60834000,107.480003
apple,4/15/16,112.110001,112.300003,109.730003,109.849998,2.260003,46418500,109.849998
apple,4/14/16,111.620003,112.389999,111.330002,112.099998,-0.479995,25337400,112.099998
apple,4/13/16,110.800003,112.339996,110.800003,112.040001,-1.239998,32691800,112.040001
apple,4/12/16,109.339996,110.5,108.660004,110.440002,-1.100006,26812000,110.440002
apple,4/11/16,108.970001,110.610001,108.830002,109.019997,-0.049996,28313500,109.019997
apple,4/8/16,108.910004,109.769997,108.169998,108.660004,0.25,23514500,108.660004
apple,4/7/16,109.949997,110.419998,108.120003,108.540001,1.409996,30881000,108.540001
apple,4/6/16,110.230003,110.980003,109.199997,110.959999,-0.729996,26047800,110.959999
apple,4/5/16,109.510002,110.730003,109.419998,109.809998,-0.299996,26495300,109.809998
apple,4/4/16,110.419998,112.190002,110.269997,111.120003,-0.700005,37333500,111.120003
apple,4/1/16,108.779999,110,108.199997,109.989998,-1.209999,25626200,109.989998
apple,3/31/16,109.720001,109.900002,108.879997,108.989998,0.730003,25685700,108.989998
apple,3/30/16,108.650002,110.419998,108.599998,109.559998,-0.909996,45159900,109.559998
apple,3/29/16,104.889999,107.790001,104.879997,107.68,-2.790001,30774100,107.68
apple,3/28/16,106,106.190002,105.059998,105.190002,0.809998,19303600,105.190002
apple,3/24/16,105.470001,106.25,104.889999,105.669998,-0.199997,25480900,105.669998
apple,3/23/16,106.480003,107.07,105.900002,106.129997,0.350006,25452600,106.129997
apple,3/22/16,105.25,107.290001,105.209999,106.720001,-1.470001,32232600,106.720001
apple,3/21/16,105.93,107.650002,105.139999,105.910004,0.019996,35180800,105.910004
apple,3/18/16,106.339996,106.5,105.190002,105.919998,0.419998,43402300,105.919998
apple,3/17/16,105.519997,106.470001,104.959999,105.800003,-0.280006,34244600,105.800003
apple,3/16/16,104.610001,106.309998,104.589996,105.970001,-1.36,37893800,105.970001
archrok,4/21/16,8.54,8.76,8.44,8.52,0.02,546700,8.52
archrok,4/20/16,7.77,8.63,7.77,8.53,-0.76,846500,8.53
archrok,4/19/16,7.87,7.97,7.62,7.88,-0.01,915000,7.88
archrok,4/18/16,7.59,7.91,7.44,7.68,-0.09,1020900,7.68
archrok,4/15/16,7.85,8.1,7.72,7.94,-0.09,521600,7.94
archrok,4/14/16,8.1,8.12,7.79,7.9,0.2,517100,7.9
archrok,4/13/16,7.83,8.14,7.67,8,-0.17,557600,8
archrok,4/12/16,7.48,7.93,7.37,7.8,-0.32,751800,7.8
archrok,4/11/16,7.38,7.68,7.26,7.39,-0.01,511600,7.39
archrok,4/8/16,7.29,7.72,7.18,7.29,0,684200,7.29
archrok,4/7/16,7.09,7.41,6.83,6.96,0.13,1171500,6.96
archrok,4/6/16,6.78,7.18,6.49,7.02,-0.24,671400,7.02
archrok,4/5/16,6.64,6.81,6.37,6.64,0,861100,6.64
archrok,4/4/16,6.81,7.04,6.6,6.7,0.11,626800,6.7
archrok,4/1/16,7.65,7.68,6.77,6.84,0.81,1199200,6.84
archrok,3/31/16,7.48,8.18,7.35,8,-0.52,1473100,8
archrok,3/30/16,7.39,7.67,7.13,7.55,-0.16,941600,7.55
archrok,3/29/16,6.71,7.28,6.67,7.21,-0.5,784800,7.21
archrok,3/28/16,7.06,7.32,6.71,6.99,0.07,601200,6.99
archrok,3/24/16,6.44,6.96,6.2,6.9,-0.46,635400,6.9
archrok,3/23/16,6.82,7.01,6.66,6.69,0.13,502000,6.69
archrok,3/22/16,6.86,7.12,6.8,6.93,-0.07,457300,6.93
archrok,3/21/16,6.66,7.15,6.66,7.02,-0.36,771800,7.02
archrok,3/18/16,7.04,7.08,6.57,6.8,0.24,2541000,6.8
archrok,3/17/16,6.7,6.98,6.43,6.87,-0.17,905900,6.87
archrok,3/16/16,6.11,6.81,6.06,6.62,-0.51,1177600,6.62
banco,4/21/16,7.33,7.34,7.13,7.17,0.16,6638800,7.17
banco,4/20/16,7.24,7.38,7.15,7.31,-0.07,8908800,7.31
banco,4/19/16,7.28,7.4,7.27,7.35,-0.07,10437000,7.35
banco,4/18/16,7.17,7.39,7.14,7.2,-0.03,12210900,7.2
banco,4/15/16,8.16,8.19,7.97,8.11,0.05,29515500,8.11
banco,4/14/16,8.39,8.4,8.03,8.18,0.21,19865600,8.18
banco,4/13/16,8.44,8.49,8.31,8.39,0.05,19072200,8.39
banco,4/12/16,8.03,8.34,7.96,8.31,-0.28,22881600,8.31
banco,4/11/16,7.88,8.06,7.86,7.94,-0.06,17266100,7.94
banco,4/8/16,7.38,7.59,7.32,7.55,-0.17,13832800,7.55
banco,4/7/16,7.04,7.09,6.93,7.04,0,8832100,7.04
banco,4/6/16,7.1,7.21,6.97,7.08,0.02,13031500,7.08
banco,4/5/16,7.16,7.4,7.07,7.25,-0.09,11315000,7.25
banco,4/4/16,7.47,7.58,7.29,7.3,0.17,8604000,7.3
banco,4/1/16,7.33,7.72,7.26,7.69,-0.36,10560500,7.685
banco,3/31/16,7.69,7.76,7.41,7.45,0.24,16570300,7.445156
banco,3/30/16,7.72,7.94,7.64,7.76,-0.04,14122100,7.754955
banco,3/29/16,7.44,7.69,7.27,7.65,-0.21,15755500,7.645026
banco,3/28/16,7.45,7.62,7.28,7.5,-0.05,12115800,7.495124
banco,3/24/16,7.08,7.14,6.98,7.08,0,14821700,7.075397
banco,3/23/16,7.44,7.45,7.14,7.19,0.25,13423600,7.185325
banco,3/22/16,7.59,7.73,7.57,7.64,-0.05,14344800,7.635033
banco,3/21/16,7.5,7.74,7.5,7.7,-0.2,12141200,7.694994
banco,3/18/16,7.56,7.65,7.35,7.61,-0.05,27529600,7.605052
banco,3/17/16,7.33,7.63,6.96,7.54,-0.21,28033300,7.535098
banco,3/16/16,6.39,6.54,6.12,6.53,-0.14,35980900,6.525755
bofa,4/21/16,14.93,15.14,14.75,14.9,0.03,119544400,14.9
bofa,4/20/16,14.56,14.94,14.53,14.93,-0.37,109067200,14.93
bofa,4/19/16,14.26,14.54,14.24,14.45,-0.19,101249800,14.45
bofa,4/18/16,13.85,14.24,13.82,14.17,-0.32,80257400,14.17
bofa,4/15/16,14.27,14.29,13.95,14,0.27,87080700,14
bofa,4/14/16,13.71,14.28,13.7,14.14,-0.43,178637200,14.14
bofa,4/13/16,13.55,13.85,13.53,13.79,-0.24,136046700,13.79
bofa,4/12/16,13,13.33,12.93,13.27,-0.27,97788700,13.27
bofa,4/11/16,12.92,13.09,12.88,12.97,-0.05,79072000,12.97
bofa,4/8/16,13.03,13.14,12.86,12.88,0.15,76254100,12.88
bofa,4/7/16,13.15,13.21,12.75,12.85,0.3,104520900,12.85
bofa,4/6/16,13.2,13.3,13.11,13.27,-0.07,62146600,13.27
bofa,4/5/16,13.3,13.34,13.16,13.19,0.11,77915100,13.19
bofa,4/4/16,13.54,13.65,13.41,13.51,0.03,59547500,13.51
bofa,4/1/16,13.47,13.65,13.32,13.56,-0.09,72591200,13.56
bofa,3/31/16,13.49,13.71,13.45,13.52,-0.03,78735100,13.52
bofa,3/30/16,13.49,13.66,13.46,13.48,0.01,85666100,13.48
bofa,3/29/16,13.54,13.54,13.26,13.42,0.12,100934700,13.42
bofa,3/28/16,13.73,13.74,13.54,13.62,0.11,53894900,13.62
bofa,3/24/16,13.41,13.69,13.27,13.68,-0.27,94548500,13.68
bofa,3/23/16,13.77,13.83,13.6,13.62,0.15,95209700,13.62
bofa,3/22/16,13.67,13.84,13.63,13.76,-0.09,82870700,13.76
bofa,3/21/16,13.8,14.03,13.72,13.84,-0.04,103906000,13.84
bofa,3/18/16,13.68,13.88,13.55,13.79,-0.11,145037500,13.79
bofa,3/17/16,13.22,13.48,13.05,13.4,-0.18,121732700,13.4
bofa,3/16/16,13.51,13.81,13.09,13.31,0.2,148489100,13.31
celgene,4/21/16,106.510002,110.07,106.309998,109.919998,-3.409996,3969800,109.919998
celgene,4/20/16,106.5,107.349998,105.860001,106.730003,-0.230003,2729900,106.730003
celgene,4/19/16,108.190002,108.720001,106.360001,106.529999,1.660003,3896600,106.529999
